User,CARD INDEX,Card Brand,Card Type,Card Number,Expires,CVV,Has Chip,Cards Issued,Credit Limit,Acct Open Date,Year PIN last Changed,Card on Dark Web
0,0,Visa,Debit,4344676511950444,12/2022,623,YES,2,0,09/2002,2008,No
0,1,Visa,Debit,4956965974959986,12/2020,393,YES,2,0,04/2014,2014,No
0,2,Visa,Debit,4582313478255491,02/2024,719,YES,2,0,07/2003,2004,No
0,3,Visa,Credit,4879494103069057,08/2024,693,NO,1,0,01/2003,2012,No
0,4,Mastercard,Debit (Prepaid),5722874738736011,03/2009,75,YES,1,0,09/2008,2009,No
1,0,Visa,Credit,4404898874682993,09/2003,736,YES,1,1,09/2003,2012,No
1,1,Visa,Debit,4001482973848631,07/2022,972,YES,2,1,02/2011,2011,No
1,2,Mastercard,Debit,5627220683410948,06/2022,48,YES,2,1,07/2003,2015,No
1,3,Mastercard,Debit (Prepaid),5711382187309326,11/2020,722,YES,2,1,06/2010,2015,No
1,4,Mastercard,Debit (Prepaid),5766121508358701,02/2023,908,YES,1,1,07/2006,2012,No
2,0,Mastercard,Debit,5495199163052054,03/2022,677,YES,2,2,10/2009,2009,No
2,1,Mastercard,Debit,5804499644308599,07/2023,258,NO,2,2,03/2002,2008,No
2,2,Mastercard,Debit,5766352389579834,02/2020,992,YES,1,2,03/2019,2019,No
2,3,Visa,Debit,4242015583697294,06/2020,928,YES,1,2,04/2014,2014,No
2,4,Mastercard,Debit,5191030913182493,06/2024,360,YES,1,2,09/2009,2009,No
3,0,Visa,Credit,4017261190134817,05/2015,877,YES,2,3,01/2011,2011,No
3,1,Mastercard,Debit (Prepaid),5581970288727991,06/2020,448,YES,1,3,02/2007,2007,No
3,2,Visa,Debit,4032240655674503,06/2022,53,YES,1,3,11/2010,2011,No
3,3,Visa,Debit,4935974646456357,06/2020,649,YES,1,3,10/2009,2010,No
4,0,Mastercard,Debit,5905027855347659,01/2022,886,YES,1,4,12/1999,2012,No
5,0,Visa,Credit,4099623033306950,09/2021,74,YES,2,5,01/2002,2019,No
5,1,Visa,Debit,4281200324251212,07/2013,865,YES,2,5,09/2007,2007,No
5,2,Visa,Credit,4411456925570768,11/2022,922,YES,2,5,11/2005,2011,No
6,0,Mastercard,Debit,5202477865497336,04/2022,861,YES,1,6,06/2005,2014,No
6,1,Mastercard,Credit,5089768442116305,07/2023,686,YES,2,6,09/2010,2010,No
6,2,Mastercard,Debit,5767339719294372,12/2021,669,NO,2,6,10/2014,2014,No
7,0,Visa,Debit,4595831603224644,05/2023,689,NO,2,7,01/2020,2020,No
8,0,Mastercard,Debit,5341049613275152,09/2021,396,YES,2,8,11/2009,2009,No
8,1,Mastercard,Debit,5668831527649353,01/2021,356,YES,1,8,09/2017,2017,No
8,2,Visa,Credit,4400056931148232,02/2021,497,YES,1,8,01/2005,2014,No
8,3,Visa,Credit,4808554251869440,02/2021,921,YES,2,8,01/2012,2012,No
8,4,Mastercard,Debit,5224739362243611,01/2019,922,YES,1,8,05/2012,2012,No
9,0,Mastercard,Debit,5294178176133532,07/2024,265,YES,2,9,07/2009,2012,No
10,0,Visa,Debit,4857799018106614,07/2021,930,YES,1,10,02/2020,2020,No
10,1,Visa,Debit,4324062360619923,02/2020,358,YES,1,10,02/2020,2020,No
11,0,Visa,Debit,4852639114720724,05/2023,995,YES,1,11,01/2020,2020,No
12,0,Mastercard,Debit,5656383455895230,01/2021,547,YES,1,12,02/2020,2020,No
13,0,Visa,Debit,4556928160477229,06/2023,64,YES,2,13,01/2007,2009,No
13,1,Mastercard,Debit,5515782790823587,06/2023,419,YES,2,13,07/2006,2017,No
13,2,Visa,Credit,4508388296516458,02/2021,364,NO,2,13,02/2020,2020,No
14,0,Mastercard,Debit,5548265564669334,12/2024,145,YES,2,14,12/2008,2016,No
15,0,Visa,Debit (Prepaid),4986270376099447,04/2022,385,YES,1,15,12/2012,2012,No
15,1,Discover,Credit,6726060094896113,01/2009,105,NO,1,15,12/2008,2014,No
15,2,Visa,Credit,4157109762296149,06/2021,433,YES,2,15,08/2007,2011,No
15,3,Mastercard,Debit,5231462717450524,03/2024,754,YES,2,15,08/2016,2016,No
15,4,Mastercard,Credit,5074836567307562,03/2023,741,NO,2,15,06/2002,2010,No
15,5,Visa,Debit,4986369179342271,11/2009,367,YES,1,15,02/2002,2014,No
16,0,Mastercard,Debit,5892013969159900,08/2022,879,YES,1,16,01/2008,2008,No
16,1,Mastercard,Debit,5179157151686144,07/2023,457,YES,2,16,08/2007,2009,No
16,2,Mastercard,Debit,5569640141329524,09/2024,904,YES,1,16,08/2013,2013,No
16,3,Visa,Credit,4708914311449293,07/2023,149,NO,1,16,08/2003,2008,No
16,4,Visa,Debit,4795724941278913,02/2022,136,YES,2,16,08/2007,2013,No
16,5,Mastercard,Credit,5300159511214994,12/2016,740,YES,2,16,09/2016,2016,No
17,0,Discover,Credit,6580244636542196,04/2011,416,YES,1,17,02/2004,2008,No
17,1,Mastercard,Debit,5032457975030967,10/2024,240,YES,2,17,12/2009,2011,No
17,2,Visa,Debit,4382324870900908,08/2018,852,YES,1,17,01/2006,2010,No
17,3,Mastercard,Debit,5456808094753905,02/2020,217,YES,1,17,01/2020,2020,No
18,0,Visa,Debit,4465362453388909,08/2022,738,YES,1,18,01/2020,2020,No
18,1,Visa,Debit,4668447208616693,02/2020,314,NO,2,18,02/2020,2020,No
18,2,Discover,Credit,6377595394803324,07/2020,675,YES,2,18,01/2020,2020,No
19,0,Mastercard,Debit (Prepaid),5117090980312402,10/2020,42,YES,1,19,02/2000,2012,No
19,1,Mastercard,Debit,5377858405611171,01/2024,24,YES,1,19,09/2009,2010,No
19,2,Mastercard,Debit,5585238056278288,03/2005,749,YES,1,19,01/1998,2011,No
19,3,Mastercard,Debit,5355281784290567,06/2020,810,YES,1,19,03/2009,2009,No
19,4,Visa,Credit,4150093118072730,06/2022,135,YES,2,19,02/2004,2009,No
20,0,Mastercard,Debit,5979295728871785,02/2020,630,YES,3,20,02/2020,2020,No
20,1,Visa,Credit,4473643731469839,01/2020,771,YES,1,20,01/2020,2020,No
20,2,Visa,Credit,4800116569994473,12/2020,201,YES,1,20,02/2020,2020,No
21,0,Visa,Debit,4832328468851061,08/2023,580,YES,1,21,01/2020,2020,No
21,1,Mastercard,Debit,5278075482033392,04/2023,437,YES,2,21,01/2020,2020,No
22,0,Visa,Debit,4869845530765333,08/2024,701,YES,2,22,07/2002,2015,No
22,1,Visa,Credit,4231526239204033,02/2020,499,YES,2,22,11/2014,2014,No
23,0,Mastercard,Debit,5813611925507601,12/2020,734,YES,2,23,09/2001,2008,No
23,1,Amex,Credit,366520954874839,05/2022,447,YES,2,23,05/2005,2011,No
24,0,Mastercard,Credit,5392697458480962,02/2020,886,YES,2,24,02/2020,2020,No
25,0,Mastercard,Debit,5048151330736425,02/2020,931,YES,1,25,01/2020,2020,No
25,1,Amex,Credit,371643368691556,11/2021,683,YES,2,25,07/2009,2011,No
25,2,Mastercard,Debit,5700734711260263,11/2023,230,YES,1,25,03/2012,2012,No
26,0,Mastercard,Debit,5389442391430673,02/2022,658,YES,2,26,10/2006,2014,No
26,1,Mastercard,Credit,5079116875907423,01/2024,849,YES,2,26,02/2020,2020,No
27,0,Visa,Debit,4390425683290569,10/2023,790,YES,2,27,08/2008,2016,No
28,0,Mastercard,Debit,5217568630125704,03/2021,625,NO,2,28,10/2010,2010,No
28,1,Amex,Credit,397856635669220,11/2020,2,YES,1,28,05/2005,2009,No
29,0,Mastercard,Debit,5529182104663869,01/2022,182,YES,1,29,05/2010,2011,No
29,1,Mastercard,Debit,5489017664251289,08/2023,196,YES,1,29,10/2016,2016,No
29,2,Mastercard,Debit,5793675314684781,06/2022,43,YES,1,29,08/2005,2009,No
29,3,Mastercard,Debit,5845373196638993,09/2022,111,YES,1,29,01/2008,2011,No
30,0,Mastercard,Debit (Prepaid),5750288075891808,02/2020,788,YES,2,30,01/2020,2020,No
31,0,Mastercard,Debit,5429789020188285,10/2012,674,YES,1,31,06/2008,2008,No
31,1,Mastercard,Credit,5301114615829913,09/2022,425,YES,1,31,12/2003,2010,No
31,2,Mastercard,Debit,5571104183564029,05/2024,52,YES,2,31,03/2006,2020,No
31,3,Mastercard,Debit,5401948301255038,12/2022,920,YES,2,31,03/2005,2007,No
32,0,Visa,Credit,4295364044956974,04/2007,656,YES,2,32,12/2006,2010,No
32,1,Visa,Credit,4737484014371342,02/2010,221,YES,2,32,01/2008,2008,No
33,0,Visa,Credit,4509365132510769,03/2020,281,NO,2,33,02/2020,2020,No
33,1,Mastercard,Debit,5068255294282305,11/2020,890,YES,1,33,12/2017,2017,No
34,0,Amex,Credit,354813103334804,06/2021,527,YES,2,34,01/2014,2014,No
34,1,Mastercard,Debit,5910929635230868,02/2020,525,YES,1,34,03/2001,2008,No
34,2,Mastercard,Debit,5400182448188961,10/2021,412,YES,1,34,07/2009,2009,No
35,0,Mastercard,Debit,5039048842448184,11/2023,339,YES,2,35,02/2009,2010,No
35,1,Mastercard,Debit (Prepaid),5672012369002302,02/2020,598,YES,2,35,06/2007,2013,No
36,0,Visa,Credit,4336733185475861,01/2021,221,NO,2,36,11/2010,2010,No
36,1,Mastercard,Debit,5985582173054292,07/2024,951,YES,1,36,11/2005,2007,No
36,2,Mastercard,Debit,5281056728185174,03/2020,835,YES,2,36,04/2008,2012,No
36,3,Mastercard,Credit,5615660494634705,11/2021,865,YES,2,36,11/2003,2008,No
36,4,Mastercard,Debit (Prepaid),5314878099448745,05/2011,994,YES,1,36,11/2010,2010,No
37,0,Amex,Credit,311095486859536,01/2024,536,YES,2,37,07/2012,2012,No
38,0,Visa,Credit,4624747592911129,02/2024,986,YES,2,38,12/2016,2016,No
39,0,Mastercard,Debit,5595562388674401,07/2024,594,YES,2,39,07/2006,2016,No
40,0,Visa,Credit,4171022488649333,01/2002,225,NO,1,40,02/1999,2010,No
40,1,Mastercard,Debit,5246337038556761,06/2021,638,YES,2,40,03/2005,2020,No
40,2,Amex,Credit,399966116933253,01/2024,343,YES,1,40,01/2020,2020,No
40,3,Mastercard,Debit,5064137987234665,02/2020,599,YES,2,40,01/2020,2020,No
40,4,Visa,Debit,4905540969337037,09/2018,573,YES,1,40,10/2013,2013,No
40,5,Mastercard,Debit,5703849820939467,12/2024,300,YES,1,40,08/2011,2011,No
40,6,Visa,Debit,4055403312631050,07/2021,902,YES,1,40,03/2013,2013,No
41,0,Visa,Debit (Prepaid),4587476056357151,07/2023,858,YES,2,41,12/2010,2010,No
41,1,Discover,Credit,6521426249819196,11/2020,608,YES,1,41,08/2014,2014,No
41,2,Visa,Debit,4199712815274632,10/2024,440,YES,1,41,07/2003,2011,No
41,3,Mastercard,Credit,5172743861765175,07/2016,906,YES,1,41,05/2004,2011,No
41,4,Mastercard,Debit,5214643602729093,05/2024,474,YES,1,41,08/2003,2007,No
42,0,Visa,Debit,4013876625955765,10/2023,543,YES,2,42,01/2002,2004,No
42,1,Visa,Debit (Prepaid),4966050979388902,03/2021,585,YES,2,42,12/2016,2016,No
42,2,Mastercard,Credit,5247576622089394,09/2021,379,YES,1,42,04/2005,2014,No
42,3,Mastercard,Credit,5911319900289832,04/2021,37,YES,2,42,04/2010,2010,No
43,0,Mastercard,Debit,5058769177189803,02/2020,12,NO,1,43,02/2020,2020,No
44,0,Visa,Debit,4682877628388639,02/2023,846,NO,1,44,11/2012,2012,No
44,1,Mastercard,Credit,5882842508952744,07/2019,614,YES,2,44,02/2003,2013,No
44,2,Mastercard,Credit,5637149260486793,07/2022,630,YES,2,44,02/2020,2020,No
45,0,Mastercard,Credit,5115700923413241,04/2022,587,NO,1,45,02/2020,2020,No
46,0,Amex,Credit,324640473359364,03/2024,659,YES,2,46,01/2020,2020,No
47,0,Mastercard,Debit,5033428838471726,02/2020,546,YES,2,47,07/2004,2007,No
47,1,Discover,Credit,6969946254132652,12/2022,588,YES,1,47,05/2011,2011,No
47,2,Mastercard,Credit,5181226307106931,11/2024,820,YES,2,47,01/2005,2014,No
47,3,Visa,Debit (Prepaid),4310689470082080,06/2023,458,YES,1,47,01/2005,2008,No
47,4,Mastercard,Debit,5051066154001741,06/2021,526,YES,2,47,07/2001,2011,No
48,0,Mastercard,Debit,5456915066505066,12/2021,553,NO,1,48,03/2000,2008,No
48,1,Mastercard,Debit,5132664334960880,05/2021,593,YES,1,48,09/2017,2017,No
48,2,Mastercard,Credit,5752873844240568,03/2020,486,YES,1,48,07/2006,2014,No
49,0,Mastercard,Credit,5494228198326752,09/2024,428,YES,2,49,11/2001,2012,No
49,1,Mastercard,Debit,5789639625525459,12/2012,43,YES,2,49,11/2005,2011,No
49,2,Mastercard,Debit,5392957769023387,10/2020,803,YES,2,49,12/1999,2010,No
50,0,Mastercard,Debit,5182820825620434,04/2021,126,YES,1,50,11/2007,2012,No
50,1,Mastercard,Debit,5102353988152905,12/2022,667,YES,2,50,05/2016,2016,No
50,2,Mastercard,Debit,5033135709911480,07/2024,170,YES,1,50,02/2010,2010,No
50,3,Mastercard,Debit,5611522756791997,01/2020,882,YES,2,50,10/2016,2016,No
51,0,Mastercard,Debit,5037404409791945,01/2022,681,YES,1,51,09/2010,2011,No
52,0,Mastercard,Credit,5571363047071896,09/2023,510,YES,1,52,01/2007,2015,No
52,1,Visa,Debit,4083033843851772,01/2020,173,YES,1,52,09/2008,2013,No
52,2,Visa,Credit,4829916759482899,07/2024,768,YES,2,52,12/2007,2011,No
53,0,Mastercard,Debit,5458492483408549,12/2022,92,YES,1,53,04/2002,2011,No
53,1,Mastercard,Debit,5879094230635425,12/2015,729,YES,2,53,02/2003,2013,No
54,0,Mastercard,Debit,5769435406360328,10/2021,957,YES,1,54,10/2009,2009,No
54,1,Mastercard,Debit,5588799529406913,11/2024,778,YES,1,54,12/2006,2009,No
54,2,Visa,Debit,4410685608952637,06/2024,265,YES,2,54,10/2014,2014,No
54,3,Visa,Debit,4470822684089911,09/2020,923,YES,2,54,02/2013,2013,No
54,4,Visa,Debit,4804338444306727,01/2022,279,YES,2,54,01/2019,2019,No
55,0,Visa,Debit,4194362281636453,10/2024,271,YES,2,55,10/2008,2009,No
55,1,Mastercard,Debit (Prepaid),5436469451844829,12/2021,48,YES,2,55,12/2010,2010,No
55,2,Mastercard,Debit,5648865641388293,08/2019,71,YES,2,55,08/2002,2012,No
55,3,Mastercard,Debit,5914243757284149,10/2012,436,YES,2,55,01/2003,2010,No
56,0,Mastercard,Credit,5193780952753626,01/2021,591,YES,2,56,01/2020,2020,No
57,0,Mastercard,Debit,5957925302951752,08/2020,746,YES,1,57,02/2020,2020,No
57,1,Visa,Debit,4557061225558443,05/2023,780,YES,1,57,01/2020,2020,No
57,2,Visa,Debit (Prepaid),4883222888293069,09/2020,2,YES,1,57,02/2020,2020,No
58,0,Mastercard,Debit,5476407228285230,11/2022,688,YES,2,58,07/2007,2013,No
59,0,Visa,Credit,4698943729070491,09/2020,450,YES,1,59,01/2011,2013,No
59,1,Mastercard,Credit,5579147219556308,06/2022,806,NO,2,59,12/2015,2015,No
60,0,Mastercard,Debit,5099614207935768,11/2020,856,YES,1,60,01/2020,2020,No
60,1,Discover,Credit,6177503172021506,05/2024,97,YES,1,60,01/2020,2020,No
61,0,Mastercard,Debit,5188130978534931,01/2022,446,YES,1,61,10/2011,2013,No
61,1,Visa,Debit (Prepaid),4860320285002452,12/2023,366,YES,2,61,04/2009,2017,No
61,2,Discover,Credit,6417599205270844,07/2021,504,YES,2,61,04/2018,2018,No
61,3,Mastercard,Debit,5516722949603675,12/2012,621,YES,1,61,11/2006,2009,No
61,4,Mastercard,Debit,5891053637541514,02/2022,362,YES,2,61,06/2013,2013,No
61,5,Visa,Debit,4222570131769035,05/2020,141,YES,1,61,12/2017,2017,No
61,6,Visa,Credit,4453742478192143,01/2020,346,YES,2,61,09/2011,2016,No
61,7,Mastercard,Debit (Prepaid),5335984658439104,11/2022,320,YES,1,61,03/2008,2010,No
62,0,Mastercard,Debit,5708150083756692,04/2023,824,YES,1,62,12/2015,2015,No
62,1,Mastercard,Debit,5238684130320063,11/2022,870,NO,1,62,05/2010,2010,No
62,2,Visa,Credit,4740880792169372,04/2020,168,YES,2,62,10/2010,2010,No
62,3,Amex,Credit,361648729239104,11/2018,709,NO,2,62,02/2012,2012,No
63,0,Amex,Credit,363305614201313,09/2023,943,NO,1,63,01/2020,2020,No
63,1,Visa,Debit,4360859456629853,11/2022,428,YES,3,63,02/2020,2020,No
63,2,Mastercard,Credit,5498016831726771,02/2020,871,YES,1,63,02/2020,2020,No
64,0,Amex,Credit,381572912003735,08/2024,145,YES,1,64,02/2020,2020,No
64,1,Mastercard,Credit,5079302523329059,04/2023,381,YES,2,64,11/2010,2010,No
65,0,Mastercard,Debit,5546998350637125,02/2020,718,YES,1,65,02/2020,2020,No
65,1,Mastercard,Credit,5326031764905960,08/2023,437,YES,1,65,03/2013,2013,No
65,2,Mastercard,Debit,5096150037217374,10/2024,862,YES,1,65,06/2010,2010,No
66,0,Visa,Debit,4489873116412364,08/2021,547,YES,2,66,05/1999,2010,No
66,1,Mastercard,Credit,5621725368325863,10/2022,60,YES,1,66,02/2019,2019,No
67,0,Mastercard,Debit,5923138803280580,02/2022,934,YES,2,67,09/2008,2013,No
67,1,Visa,Debit,4447989421793048,03/2022,995,YES,2,67,06/2007,2012,No
67,2,Mastercard,Credit,5000307662634780,04/2020,263,NO,1,67,09/2014,2014,No
68,0,Mastercard,Debit,5707305515533516,04/2020,203,YES,2,68,06/2010,2010,No
68,1,Mastercard,Debit,5864987017850552,08/2023,258,YES,2,68,02/2006,2008,No
69,0,Visa,Debit,4228885239928189,10/2013,543,NO,1,69,05/2008,2012,No
69,1,Visa,Credit,4210237285941913,04/2020,160,YES,1,69,05/2010,2012,No
69,2,Visa,Credit,4877073763902898,07/2014,786,YES,2,69,06/2012,2012,No
70,0,Mastercard,Debit,5558040779986506,09/2021,69,YES,2,70,04/2009,2009,No
71,0,Visa,Credit,4642496218651973,04/2018,594,YES,1,71,06/2010,2012,No
71,1,Visa,Credit,4244401907291512,04/2020,120,YES,1,71,07/2012,2012,No
71,2,Mastercard,Credit,5157439545898691,03/2020,657,YES,1,71,02/2020,2020,No
71,3,Visa,Debit,4079516725179269,04/2023,72,YES,2,71,02/2020,2020,No
